ID,area,perimeter,compactness,lengthOfKernel,widthOfKernel,asymmetryCoefficient,lengthOfKernelGroove,class
150,10.79,12.93,0.8107,5317.0,2648.0,5462.0,5194.0,Canadian
151,11.83,13.23,0.8496,5263.0,2.84,5195.0,5307.0,Canadian
152,12.01,13.52,0.8249,5405.0,2776.0,6992.0,5.27,Canadian
153,12.26,13.6,0.8333,5408.0,2833.0,4756.0,5.36,Canadian
154,11.18,13.04,0.8266,5.22,2693.0,3332.0,5001.0,Canadian
155,11.36,13.05,0.8382,5175.0,2755.0,4048.0,5263.0,Canadian
156,11.19,13.05,0.8253,5.25,2675.0,5813.0,5219.0,Canadian
157,11.34,12.87,0.8596,5053.0,2849.0,3347.0,5003.0,Canadian
158,12.13,13.73,0.8081,5394.0,2745.0,4825.0,5.22,Canadian
159,11.75,13.52,0.8082,5444.0,2678.0,4378.0,5.31,Canadian
160,11.49,13.22,0.8263,5304.0,2695.0,5388.0,5.31,Canadian
161,12.54,13.67,0.8425,5451.0,2879.0,3082.0,5491.0,Canadian
162,12.02,13.33,0.8503,5.35,2.81,4271.0,5308.0,Canadian
163,12.05,13.41,0.8416,5267.0,2847.0,4988.0,5046.0,Canadian
164,12.55,13.57,0.8558,5333.0,2968.0,4419.0,5176.0,Canadian
165,11.14,12.79,0.8558,5011.0,2794.0,6388.0,5049.0,Canadian
166,12.1,13.15,0.8793,5105.0,2941.0,2201.0,5056.0,Canadian
167,12.44,13.59,0.8462,5319.0,2897.0,4924.0,5.27,Canadian
168,12.15,13.45,0.8443,5417.0,2837.0,3638.0,5338.0,Canadian
169,11.35,13.12,0.8291,5176.0,2668.0,4337.0,5132.0,Canadian
170,11.24,13.0,0.8359,5.09,2715.0,3521.0,5088.0,Canadian
171,11.02,13.0,0.8189,5325.0,2701.0,6735.0,5163.0,Canadian
172,11.55,13.1,0.8455,5167.0,2845.0,6715.0,4956.0,Canadian
173,11.27,12.97,0.8419,5088.0,2763.0,4309.0,5.0,Canadian
174,11.4,13.08,0.8375,5136.0,2763.0,5588.0,5089.0,Canadian
175,10.83,12.96,0.8099,5278.0,2641.0,5182.0,5185.0,Canadian
176,10.8,12.57,859.0,4981.0,2821.0,4773.0,5063.0,Canadian
177,11.26,13.01,0.8355,5186.0,2.71,5335.0,5092.0,Canadian
178,10.74,12.73,0.8329,5145.0,2642.0,4702.0,4963.0,Canadian
179,11.48,13.05,0.8473,5.18,2758.0,5876.0,5002.0,Canadian
180,12.21,13.47,0.8453,5357.0,2893.0,1661.0,5178.0,Canadian
181,11.41,12.95,856.0,5.09,2775.0,4957.0,4825.0,Canadian
182,12.46,13.41,0.8706,5236.0,3017.0,4987.0,5147.0,Canadian
183,12.19,13.36,0.8579,5.24,2909.0,4857.0,5158.0,Canadian
184,11.65,13.07,0.8575,5108.0,2.85,5209.0,5135.0,Canadian
185,12.89,13.77,0.8541,5495.0,3026.0,6185.0,5316.0,Canadian
186,11.56,13.31,0.8198,5363.0,2683.0,4062.0,5182.0,Canadian
187,11.81,13.45,0.8198,5413.0,2716.0,4898.0,5352.0,Canadian
188,10.91,12.8,0.8372,5088.0,2675.0,4179.0,4956.0,Canadian
189,11.23,12.82,0.8594,5089.0,2821.0,7524.0,4957.0,Canadian
190,10.59,12.41,0.8648,4899.0,2787.0,4975.0,4794.0,Canadian
191,10.93,12.8,839.0,5046.0,2717.0,5398.0,5045.0,Canadian
192,11.27,12.86,0.8563,5091.0,2804.0,3985.0,5001.0,Canadian
193,11.87,13.02,0.8795,5132.0,2953.0,3597.0,5132.0,Canadian
194,10.82,12.83,0.8256,5.18,2.63,4853.0,5089.0,Canadian
195,12.11,13.27,0.8639,5236.0,2975.0,4132.0,5012.0,Canadian
196,12.8,13.47,886.0,5.16,3126.0,4873.0,4914.0,Canadian
197,12.79,13.53,0.8786,5224.0,3054.0,5483.0,4958.0,Canadian
198,13.37,13.78,0.8849,5.32,3128.0,4.67,5091.0,Canadian
199,12.62,13.67,0.8481,5.41,2911.0,3306.0,5231.0,Canadian
200,12.76,13.38,0.8964,5073.0,3155.0,2828.0,4.83,Canadian
201,12.38,13.44,0.8609,5219.0,2989.0,5472.0,5045.0,Canadian
202,12.67,13.32,0.8977,4984.0,3135.0,2.3,4745.0,Canadian
203,11.18,12.72,868.0,5009.0,2.81,4051.0,4828.0,Canadian
204,12.7,13.41,0.8874,5183.0,3091.0,8456.0,5.0,Canadian
205,12.37,13.47,0.8567,5204.0,2.96,3919.0,5001.0,Canadian
206,12.19,13.2,0.8783,5137.0,2981.0,3631.0,4.87,Canadian
207,11.23,12.88,0.8511,5.14,2795.0,4325.0,5003.0,Canadian
208,13.2,13.66,0.8883,5236.0,3232.0,8315.0,5056.0,Canadian
209,11.84,13.21,0.8521,5175.0,2836.0,3598.0,5044.0,Canadian
210,12.3,13.34,0.8684,5243.0,2974.0,5637.0,5063.0,Canadian
186,11.56,13.31,0.8198,5363.0,2683.0,4062.0,5182.0,Canadian
187,11.81,13.45,0.8198,5413.0,2716.0,4898.0,5352.0,Canadian
188,10.91,12.8,0.8372,5088.0,2675.0,4179.0,4956.0,Canadian
189,11.23,12.82,0.8594,5089.0,2821.0,7524.0,4957.0,Canadian
190,10.59,12.41,0.8648,4899.0,2787.0,4975.0,4794.0,Canadian
191,10.93,12.8,839.0,5046.0,2717.0,5398.0,5045.0,Canadian
192,11.27,12.86,0.8563,5091.0,2804.0,3985.0,5001.0,Canadian
193,11.87,13.02,0.8795,5132.0,2953.0,3597.0,5132.0,Canadian
194,10.82,12.83,0.8256,5.18,2.63,4853.0,5089.0,Canadian
195,12.11,13.27,0.8639,5236.0,2975.0,4132.0,5012.0,Canadian
196,12.8,13.47,886.0,5.16,3126.0,4873.0,4914.0,Canadian
197,12.79,13.53,0.8786,5224.0,3054.0,5483.0,4958.0,Canadian
198,13.37,13.78,0.8849,5.32,3128.0,4.67,5091.0,Canadian
199,12.62,13.67,0.8481,5.41,2911.0,3306.0,5231.0,Canadian
200,12.76,13.38,0.8964,5073.0,3155.0,2828.0,4.83,Canadian
201,12.38,13.44,0.8609,5219.0,2989.0,5472.0,5045.0,Canadian
202,12.67,13.32,0.8977,4984.0,3135.0,2.3,4745.0,Canadian
203,11.18,12.72,868.0,5009.0,2.81,4051.0,4828.0,Canadian
204,12.7,13.41,0.8874,5183.0,3091.0,8456.0,5.0,Canadian
205,12.37,13.47,0.8567,5204.0,2.96,3919.0,5001.0,Canadian
206,12.19,13.2,0.8783,5137.0,2981.0,3631.0,4.87,Canadian
207,11.23,12.88,0.8511,5.14,2795.0,4325.0,5003.0,Canadian
208,13.2,13.66,0.8883,5236.0,3232.0,8315.0,5056.0,Canadian
209,11.84,13.21,0.8521,5175.0,2836.0,3598.0,5044.0,Canadian
210,12.3,13.34,0.8684,5243.0,2974.0,5637.0,5063.0,Canadian
53,14.49,14.61,0.8538,5715.0,3113.0,4116.0,5396.0,Kama
54,14.33,14.28,0.8831,5504.0,3199.0,3328.0,5224.0,Kama
55,14.52,14.6,0.8557,5741.0,3113.0,1481.0,5487.0,Kama
56,15.03,14.77,0.8658,5702.0,3212.0,1933.0,5439.0,Kama
57,14.46,14.35,0.8818,5388.0,3377.0,2802.0,5044.0,Kama
58,14.92,14.43,0.9006,5384.0,3412.0,1142.0,5088.0,Kama
59,15.38,14.77,0.8857,,,,,Kama
60,12.11,13.47,0.8392,,,,,Kama
61,11.42,12.86,0.8683,,,,,Kama
62,11.23,12.63,884.0,,,,,Kama
63,12.36,13.19,0.8923,,,,,Kama
64,13.22,13.84,868.0,5395.0,3.07,4157.0,5088.0,Kama
65,12.78,13.57,0.8716,5262.0,3026.0,1176.0,4782.0,Kama
66,12.88,13.5,0.8879,5139.0,3119.0,2352.0,4607.0,Kama
67,14.34,14.37,0.8726,5.63,3.19,1313.0,5.15,Kama
68,14.01,14.29,0.8625,5609.0,3158.0,2217.0,5132.0,Kama
69,14.37,14.39,0.8726,5569.0,3153.0,1464.0,5.3,Kama
70,12.73,13.75,0.8458,,2882.0,3533.0,5067.0,Kama
71,17.63,15.98,0.8673,,3561.0,4076.0,6.06,Rosa
72,16.84,15.67,0.8623,,3484.0,4675.0,5877.0,Rosa
73,17.26,15.73,0.8763,,3594.0,4539.0,5791.0,Rosa
74,19.11,16.26,0.9081,,3.93,2936.0,6079.0,Rosa
75,16.82,15.51,0.8786,6017.0,3486.0,4004.0,5841.0,Rosa
76,16.77,15.62,0.8638,5927.0,3438.0,4.92,5795.0,Rosa
77,17.32,15.91,0.8599,6064.0,3403.0,3824.0,5922.0,Rosa
78,20.71,17.23,0.8763,6579.0,3814.0,,6451.0,Rosa
79,18.94,16.49,875.0,6445.0,3639.0,,6362.0,Rosa
80,17.12,15.55,0.8892,5.85,3566.0,,5746.0,Rosa
81,16.53,15.34,0.8823,5875.0,3467.0,5532.0,5.88,Rosa
82,18.72,16.19,0.8977,6006.0,3857.0,5324.0,5879.0,Rosa
83,20.2,16.89,0.8894,6285.0,3864.0,5173.0,6187.0,Rosa
